artist,ontour,listeners,playcount
The Poets Of Rhythm,0,127617,751486
Timoneki,0,3418,15843
Sarah Téibo,0,2909,12795
Morbo y Mambo,0,24292,190251
Voilaaa,0,42507,290783
Son Palenque,0,18579,67025
The Bamboos,0,278861,2810911
Ikebe Shakedown,0,95797,837436
Nosa,0,3464,22853
The Mighty Imperials,0,65748,331549
The Bongo Hop,0,38011,207522
Abayomy Afrobeat Orquestra,0,22481,141732
Wganda Kenya,0,15732,79151
BaianaSystem,0,139167,5987526
Limoblaze,0,21559,277906
Osibisa,0,68021,469250
Nero X,0,755,7209
TJ Cream,0,1387,23290
Angeloh,0,1472,10850
Lijadu Sisters,0,74988,491305
Brownout,0,56090,482707
Abayomy Afrobeat Orquestra,0,22481,141732
Speedometer,0,93922,854708
Eddie Neblett,0,368,3068
OQuadro,0,12974,93521
Nomade Orquestra,0,21565,209115
Afrocidade,0,20788,272216
São Paulo Ska Jazz,0,4933,37361
Lafayette Afro Rock Band,0,148755,829070
Femi Kuti,0,139590,1102520
Mandrill,0,157240,914338
Los Amigos Invisibles,1,245947,4523313
Limoblaze,0,21559,277906
ATR,0,3874,19123
Orchestra Baobab,1,218301,2152445
ST-Saint,0,190,1399
Angeloh,0,1472,10850
A Mose,0,1497,11161
Voilaaa,0,42507,290783
Les Mamans du Congo,0,11468,62979
Ocote Soul Sounds,0,47084,310711
Oba Reengy,0,1554,9553
Orquestra Voadora,0,5815,32352
Limoblaze,0,21559,277906
Sarah Téibo,0,2909,12795
Star Feminine Band,0,5533,28778
Rehmahz,0,3529,26267
Victor Rice,0,13571,91673
The Souljazz Orchestra,0,130033,1319513
Ondatrópica,0,76825,809057
Thee Commons,0,9812,63142
Kiko Dinucci e Bando Afro Macarrônico,0,2135,9975
Gyedu-Blay Ambolley,0,31020,150919
Samuca e a Selva,0,15730,160677
The New Mastersounds,1,174914,2134890
Lack Of Afro,0,125053,1502014
Ebo Taylor,1,173304,1486113
Greyboy,0,113638,827946
Rex Williams,0,44990,104132
Akalé Wubé,0,47287,316030
Ilover,0,5082,14032
Limoblaze,0,21559,277906
Sarah Téibo,0,2909,12795
TBabz,0,2517,18766
Jaron Nurse,0,423,2854
Bantunagojeje,0,598,1254
The Sound Stylistics,0,38846,342365
The Soul Snatchers,0,28337,181705
Vaudou Game,0,28528,227962
Lack Of Afro,0,125053,1502014
Greatman Takit,0,1000,12981
Euforquestra,0,5623,39232
The New Mastersounds,1,174914,2134890
Eben,0,73315,678441
The Dynamics,0,108442,754619
El Michels Affair,0,356832,5204799
Matata,0,45160,184090
Jungle Fire,0,43600,211816
Buyepongo,0,4157,16545
Voilaaa,0,42507,290783
Oba Reengy,0,1554,9553
Lack Of Afro,0,125053,1502014
Ricardo Lemvo,0,8704,36393
Foli Griô Orquestra,0,4497,25134
Ricardo Lemvo,0,8704,36393
Brownout,0,56090,482707
Mulatu Astatke,1,432621,6853572
Jor'dan Armstrong,0,8281,74622
BaianaSystem,0,139167,5987526
Pat Kalla,0,9116,42119
Calle 13,0,522180,12614235
Calle 13,0,522180,12614235
ST-Saint,0,190,1399
TJ Cream,0,1387,23290
Iconili,0,13681,66878
Hektombe,0,791,1790
Sharyn,0,1600,11031
Qyubi,0,247,1816
Calle 13,0,522180,12614235
BANTU,0,48067,199278
La Cumbia Chicharra,0,6720,18396
Soothsayers,0,11414,63913
Voilaaa,0,42507,290783
Voilaaa,0,42507,290783
OQuadro,0,12974,93521
Afrocidade,0,20788,272216
Euforquestra,0,5623,39232
Manu Dibango,0,228226,1472349
El Hijo De La Cumbia,0,13139,85744
Warsaw Afrobeat Orchestra,0,1772,13984
Samuca e a Selva,0,15730,160677
Höröyá,0,2697,20164
El Michels Affair,0,356832,5204799
William Onyeabor,0,196616,1954850
Rehmahz,0,3529,26267
Lefties Soul Connection,0,90849,811441
Marizu,0,4859,62317
Sambabook,0,102918,477670
J Prince,0,598,4023
Alogte Oho & His Sounds of Joy,1,23424,119643
Bacao Rhythm & Steel Band,0,91657,659683
Soothsayers,0,11414,63913
Jungle Fire,0,43600,211816
Pacific Express,0,6006,16774
A Mose,0,1497,11161
